CookerStat, GenerateAssetRegistry=0.145622, Initialize=0.555694, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdF0B0160B4F66EECC45DC94AA945DFD71_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BCB47E504A9EEE57E6AE33A3A9BD27C3__1_0_13123_0, StartTime=2016.05.30-15.49.13, HierarchicalDDC=, DataSize=458, Duration=4.643593, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdF0B0160B4F66EECC45DC94AA945DFD71_9, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A803127F42A0F27D600DB48FA1142BCB__1_0_13123_0, StartTime=2016.05.30-15.49.13, HierarchicalDDC=, DataSize=458, Duration=7.171594, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdABC35967490B28FA49314DB458033372_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_BD870B2E4CE03FDF64E805A0B3B43D33_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.30-15.49.20, Duration=62.753761, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdFF9821BD4C003C4F8C3AD19871E3F29B_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8F6651374078E38D0C4D23805C944B23_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.30-15.49.20, Duration=2.414122, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionId843A227241C50B90E628918FA1560AAB_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_CA07F6294025397055490B802A308E01_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.30-15.49.20, Duration=48.322330, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdAA9468384FD5C9249E11969EEFDF4098_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_61FDCE8C484BC07581D0A7B10067DA48_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.30-15.49.20, Duration=1.465540, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdF0B0160B4F66EECC45DC94AA945DFD71_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_61FDCE8C484BC07581D0A7B10067DA48__E227A309DBF970FE2C1EFF8ACCC99B735DC80E75, StartTime=2016.05.30-15.49.20, HierarchicalDDC=, DataSize=3267, Duration=8.453068, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdB154E0614B69E2EB7F6293BAAC5341D9_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_8F6651374078E38D0C4D23805C944__9AA85797C83753258599AE87E49375F33EC7EF11, StartTime=2016.05.30-15.49.20, HierarchicalDDC=, DataSize=6014, Duration=10.115776, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdF0B0160B4F66EECC45DC94AA945DFD71_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_CA07F6294025397055490B802A308E01__039056EC3154E4B444DCEE3DD203D23F65102343, StartTime=2016.05.30-15.49.20, HierarchicalDDC=, DataSize=131332, Duration=8.430060, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdB154E0614B69E2EB7F6293BAAC5341D9_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_CA07F6294025397055490B802A308E01__D8A75E99DF745AD7DF0162F09EC4B44C034D409F, StartTime=2016.05.30-15.49.20, HierarchicalDDC=, DataSize=33028, Duration=8.087848, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdB154E0614B69E2EB7F6293BAAC5341D9_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_CA07F6294025397055490B802A308E01__87B945B80E2D0A2BDAF7EA704C554F6C4CBD62E5, StartTime=2016.05.30-15.49.20, HierarchicalDDC=, DataSize=8452, Duration=8.050859, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdF0B0160B4F66EECC45DC94AA945DFD71_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_CA07F6294025397055490B802A308E01__8213EBDD03497844C69C1C7E14E6C14ED0D1F3F2, StartTime=2016.05.30-15.49.20, HierarchicalDDC=, DataSize=4143, Duration=7.262752, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdF0B0160B4F66EECC45DC94AA945DFD71_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_BD870B2E4CE03FDF64E805A0B3B43__7CE898AB5BAA2F25E0734EF7471611EA20983C1A, StartTime=2016.05.30-15.49.20, HierarchicalDDC=, DataSize=262407, Duration=9.323888, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdB154E0614B69E2EB7F6293BAAC5341D9_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_BD870B2E4CE03FDF64E805A0B3B43__BC12AB66E01D93E10630D3959FDD6EA68C1E1CA5, StartTime=2016.05.30-15.49.20, HierarchicalDDC=, DataSize=65799, Duration=8.587621, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdB154E0614B69E2EB7F6293BAAC5341D9_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_BD870B2E4CE03FDF64E805A0B3B43__952DFC2F63FD37D54E566AF9EEEC170920DB5F8B, StartTime=2016.05.30-15.49.20, HierarchicalDDC=, DataSize=16647, Duration=7.665250, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdF0B0160B4F66EECC45DC94AA945DFD71_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_BD870B2E4CE03FDF64E805A0B3B43__5F88052342F0A0FC395F3AA2FC9C386EC4A76308, StartTime=2016.05.30-15.49.20, HierarchicalDDC=, DataSize=6899, Duration=29.251966, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionId843A227241C50B90E628918FA1560AAB_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_C4698AAE42445AA8516AF8A23FE40539_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.30-15.49.20, Duration=5.263362, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdFF9821BD4C003C4F8C3AD19871E3F29B_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_466B03CB498B9BB96D2711854F52BA7A_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.30-15.49.20, Duration=0.191059, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdB154E0614B69E2EB7F6293BAAC5341D9_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_466B03CB498B9BB96D2711854F52BA7A_0__5538B183B48AC25AB960D15614262D9D2A962680, StartTime=2016.05.30-15.49.20, HierarchicalDDC=, DataSize=3250, Duration=7.821650, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdF0B0160B4F66EECC45DC94AA945DFD71_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_C4698AAE42445AA8516AF8A23FE40539_0__9B360CAA458C82AC98DFF4FA3E699331BCA490EA, StartTime=2016.05.30-15.49.20, HierarchicalDDC=, DataSize=131330, Duration=9.466596, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdB154E0614B69E2EB7F6293BAAC5341D9_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_C4698AAE42445AA8516AF8A23FE40539_0__FBE2854879095967CA65D55651474F4CFC9F5B68, StartTime=2016.05.30-15.49.20, HierarchicalDDC=, DataSize=33026, Duration=9.025943, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdF0B0160B4F66EECC45DC94AA945DFD71_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_C4698AAE42445AA8516AF8A23FE40539_0__E5AE6F972D667B636B8738153D2DB44D6101CD7A, StartTime=2016.05.30-15.49.20, HierarchicalDDC=, DataSize=8449, Duration=9.564161, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
DDCTransactionIdB154E0614B69E2EB7F6293BAAC5341D9_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_G8_C4698AAE42445AA8516AF8A23FE40539_0__A0D9755A9E6103D70821FF5785B4F1944D4D77F9, StartTime=2016.05.30-15.49.20, HierarchicalDDC=, DataSize=4119, Duration=7.996395, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
SavePackageTransactionIdBE09ED934A5A968D196480BBA8B1CEFB_0, Filename=E:/Github/Jam/Content/Maps/Test.umap, AutoPackageBackupDelegate=54.779793, FlushAsyncLoading=0.014856, FlushStreamingFunc=0.076886, BlockTillAllRequestsFinished=0.013981, ResetLoadersForSaveUnMarkAllObjects=49.399643, TagPackageExports=3.615502, BeginCacheForCookedPlatformData=0.003494, SerializeImports=4.350312, GatherLocalizableTextData=21.385174, MarkNames=0.156689, SerializeSummary=0.029415, SerializeNames=0.747330, SerializeGatherableTextData=0.020970, BuildExportMap=0.588313, SortExportsNonSeekfree=1.201093, SortExportsSeekfreeConstructor=0.099313, SortExportsSeekfreeInner=43.533699, SortExportsSeekfree=0.006407, BuildDependencyMap=0.155233, SerializeImportMap=0.056792, SerializeExportMap=0.110671, SerializeDependencyMap=0.016600, SerializeStringAssetReferenceMap=0.048056, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.555532, SerializeExports=17.398045, SerializeBulkData=24.491001, MoveFile=5.229868, UnaccountedTime=2.307527, RunGuid=RunID107D206444BFD16E3B98B7978E54A308
