CookerStat, GenerateAssetRegistry=0.123195, Initialize=0.496861, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_11, Filename=E:/Github/Jam/Content/Characters/Player/Flipbook/FB_Idle_E.uasset, AutoPackageBackupDelegate=0.230663, FlushAsyncLoading=0.003789, FlushStreamingFunc=0.062905, BlockTillAllRequestsFinished=0.008740, ResetLoadersForSaveUnMarkAllObjects=0.249594, TagPackageExports=0.028834, BeginCacheForCookedPlatformData=0.001166, SerializeImports=0.500355, GatherLocalizableTextData=0.109509, MarkNames=0.014853, SerializeSummary=0.010196, SerializeNames=0.022132, SerializeGatherableTextData=0.001457, BuildExportMap=0.233579, SortExportsNonSeekfree=0.005241, SortExportsSeekfreeConstructor=0.009026, SortExportsSeekfreeInner=0.330564, SortExportsSeekfree=0.002328, BuildDependencyMap=0.009611, SerializeImportMap=0.011064, SerializeExportMap=0.006407, SerializeDependencyMap=0.001457, SerializeStringAssetReferenceMap=0.001747, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.590420, SerializeExports=0.555400, SerializeBulkData=0.003789, MoveFile=5.456157, UnaccountedTime=1.773674, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_12, Filename=E:/Github/Jam/Content/Characters/Player/Flipbook/FB_Idle_N.uasset, AutoPackageBackupDelegate=0.244644, FlushAsyncLoading=0.004370, FlushStreamingFunc=0.062328, BlockTillAllRequestsFinished=0.004951, ResetLoadersForSaveUnMarkAllObjects=0.215810, TagPackageExports=0.044852, BeginCacheForCookedPlatformData=0.001747, SerializeImports=0.565305, GatherLocalizableTextData=0.115041, MarkNames=0.018347, SerializeSummary=0.011358, SerializeNames=0.022717, SerializeGatherableTextData=0.001747, BuildExportMap=0.299107, SortExportsNonSeekfree=0.008445, SortExportsSeekfreeConstructor=0.013981, SortExportsSeekfreeInner=0.447351, SortExportsSeekfree=0.004951, BuildDependencyMap=0.013106, SerializeImportMap=0.016309, SerializeExportMap=0.009321, SerializeDependencyMap=0.002332, SerializeStringAssetReferenceMap=0.002328, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.433863, SerializeExports=0.722282, SerializeBulkData=0.006117, MoveFile=5.445674, UnaccountedTime=1.588732, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_13, Filename=E:/Github/Jam/Content/Characters/Player/Flipbook/FB_Idle_NE.uasset, AutoPackageBackupDelegate=0.221636, FlushAsyncLoading=0.003498, FlushStreamingFunc=0.056792, BlockTillAllRequestsFinished=0.008445, ResetLoadersForSaveUnMarkAllObjects=0.223093, TagPackageExports=0.028543, BeginCacheForCookedPlatformData=0.001457, SerializeImports=0.491325, GatherLocalizableTextData=0.104558, MarkNames=0.014562, SerializeSummary=0.011649, SerializeNames=0.021845, SerializeGatherableTextData=0.001166, BuildExportMap=0.216685, SortExportsNonSeekfree=0.005241, SortExportsSeekfreeConstructor=0.009026, SortExportsSeekfreeInner=0.343960, SortExportsSeekfree=0.002328, BuildDependencyMap=0.009906, SerializeImportMap=0.011358, SerializeExportMap=0.006407, SerializeDependencyMap=0.001747, SerializeStringAssetReferenceMap=0.002623, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.662355, SerializeExports=0.535015, SerializeBulkData=0.003494, MoveFile=5.796622, UnaccountedTime=1.632128, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_14, Filename=E:/Github/Jam/Content/Characters/Player/Flipbook/FB_Idle_NW.uasset, AutoPackageBackupDelegate=0.237945, FlushAsyncLoading=0.003494, FlushStreamingFunc=0.051260, BlockTillAllRequestsFinished=0.003785, ResetLoadersForSaveUnMarkAllObjects=0.189308, TagPackageExports=0.030581, BeginCacheForCookedPlatformData=0.001166, SerializeImports=0.462204, GatherLocalizableTextData=0.094071, MarkNames=0.015434, SerializeSummary=0.010196, SerializeNames=0.019513, SerializeGatherableTextData=0.001162, BuildExportMap=0.264160, SortExportsNonSeekfree=0.005532, SortExportsSeekfreeConstructor=0.009321, SortExportsSeekfreeInner=0.353571, SortExportsSeekfree=0.002619, BuildDependencyMap=0.010196, SerializeImportMap=0.014562, SerializeExportMap=0.007283, SerializeDependencyMap=0.001747, SerializeStringAssetReferenceMap=0.001457, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.729050, SerializeExports=0.740927, SerializeBulkData=0.009317, MoveFile=4.913568, UnaccountedTime=1.737270, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_15, Filename=E:/Github/Jam/Content/Characters/Player/Flipbook/FB_Idle_S.uasset, AutoPackageBackupDelegate=0.240859, FlushAsyncLoading=0.003494, FlushStreamingFunc=0.063200, BlockTillAllRequestsFinished=0.005241, ResetLoadersForSaveUnMarkAllObjects=0.177078, TagPackageExports=0.028539, BeginCacheForCookedPlatformData=0.001166, SerializeImports=0.463370, GatherLocalizableTextData=0.104263, MarkNames=0.015147, SerializeSummary=0.011064, SerializeNames=0.018641, SerializeGatherableTextData=0.001166, BuildExportMap=0.217557, SortExportsNonSeekfree=0.004951, SortExportsSeekfreeConstructor=0.009902, SortExportsSeekfreeInner=0.332892, SortExportsSeekfree=0.002332, BuildDependencyMap=0.009611, SerializeImportMap=0.011358, SerializeExportMap=0.006407, SerializeDependencyMap=0.001457, SerializeStringAssetReferenceMap=0.001457, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.576730, SerializeExports=0.552490, SerializeBulkData=0.004079, MoveFile=4.857652, UnaccountedTime=1.557570, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_16, Filename=E:/Github/Jam/Content/Characters/Player/Flipbook/FB_Idle_SE.uasset, AutoPackageBackupDelegate=0.247557, FlushAsyncLoading=0.004660, FlushStreamingFunc=0.059705, BlockTillAllRequestsFinished=0.007574, ResetLoadersForSaveUnMarkAllObjects=0.201542, TagPackageExports=0.028543, BeginCacheForCookedPlatformData=0.001166, SerializeImports=0.475310, GatherLocalizableTextData=0.111546, MarkNames=0.017766, SerializeSummary=0.010483, SerializeNames=0.018641, SerializeGatherableTextData=0.001162, BuildExportMap=0.218436, SortExportsNonSeekfree=0.005532, SortExportsSeekfreeConstructor=0.009030, SortExportsSeekfreeInner=0.319201, SortExportsSeekfree=0.002328, BuildDependencyMap=0.009906, SerializeImportMap=0.011653, SerializeExportMap=0.006113, SerializeDependencyMap=0.001747, SerializeStringAssetReferenceMap=0.001457, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.663812, SerializeExports=0.521619, SerializeBulkData=0.003785, MoveFile=5.538873, UnaccountedTime=1.615819, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_17, Filename=E:/Github/Jam/Content/Characters/Player/Flipbook/FB_Idle_SW.uasset, AutoPackageBackupDelegate=0.251926, FlushAsyncLoading=0.004657, FlushStreamingFunc=0.061452, BlockTillAllRequestsFinished=0.004079, ResetLoadersForSaveUnMarkAllObjects=0.220761, TagPackageExports=0.031743, BeginCacheForCookedPlatformData=0.001166, SerializeImports=0.514045, GatherLocalizableTextData=0.108924, MarkNames=0.016309, SerializeSummary=0.010487, SerializeNames=0.020094, SerializeGatherableTextData=0.001457, BuildExportMap=0.234451, SortExportsNonSeekfree=0.005536, SortExportsSeekfreeConstructor=0.010774, SortExportsSeekfreeInner=0.345707, SortExportsSeekfree=0.002328, BuildDependencyMap=0.011068, SerializeImportMap=0.012230, SerializeExportMap=0.006698, SerializeDependencyMap=0.001457, SerializeStringAssetReferenceMap=0.001747, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.834483, SerializeExports=0.521325, SerializeBulkData=0.004079, MoveFile=6.363675, UnaccountedTime=1.877356, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_18, Filename=E:/Github/Jam/Content/Characters/Player/Player_BP.uasset, AutoPackageBackupDelegate=23.735188, FlushAsyncLoading=0.005245, FlushStreamingFunc=0.083294, BlockTillAllRequestsFinished=0.010192, ResetLoadersForSaveUnMarkAllObjects=0.477057, TagPackageExports=1.485635, BeginCacheForCookedPlatformData=0.003494, SerializeImports=2.497997, GatherLocalizableTextData=3.818784, MarkNames=0.046600, SerializeSummary=0.015434, SerializeNames=0.161059, SerializeGatherableTextData=0.149116, BuildExportMap=0.267945, SortExportsNonSeekfree=0.166010, SortExportsSeekfreeConstructor=0.096109, SortExportsSeekfreeInner=19.972610, SortExportsSeekfree=0.004951, BuildDependencyMap=0.028543, SerializeImportMap=0.015728, SerializeExportMap=0.013981, SerializeDependencyMap=0.073977, SerializeStringAssetReferenceMap=0.002619, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.288039, SerializeExports=2.157535, SerializeBulkData=0.004075, MoveFile=5.727012, UnaccountedTime=0.257168, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_19, Filename=E:/Github/Jam/Content/Characters/Player/Player_BP.uasset, AutoPackageBackupDelegate=22.291492, FlushAsyncLoading=0.005241, FlushStreamingFunc=0.083003, BlockTillAllRequestsFinished=0.010192, ResetLoadersForSaveUnMarkAllObjects=0.256006, TagPackageExports=1.170218, BeginCacheForCookedPlatformData=0.001457, SerializeImports=1.609702, GatherLocalizableTextData=3.291927, MarkNames=0.036113, SerializeSummary=0.013981, SerializeNames=0.206783, SerializeGatherableTextData=0.115622, BuildExportMap=0.215523, SortExportsNonSeekfree=0.142418, SortExportsSeekfreeConstructor=0.012230, SortExportsSeekfreeInner=21.285538, SortExportsSeekfree=0.003789, BuildDependencyMap=0.025626, SerializeImportMap=0.014562, SerializeExportMap=0.013106, SerializeDependencyMap=0.052422, SerializeStringAssetReferenceMap=0.002913, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.274062, SerializeExports=2.045400, SerializeBulkData=0.004079, MoveFile=5.787302, UnaccountedTime=0.249304, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
SavePackageTransactionId4091BF1643A217C667898DA906FA7E9C_20, Filename=E:/Github/Jam/Content/Characters/Player/Player_BP.uasset, AutoPackageBackupDelegate=19.388958, FlushAsyncLoading=0.003789, FlushStreamingFunc=0.082422, BlockTillAllRequestsFinished=0.007279, ResetLoadersForSaveUnMarkAllObjects=0.212319, TagPackageExports=1.123618, BeginCacheForCookedPlatformData=0.001457, SerializeImports=1.711931, GatherLocalizableTextData=2.517216, MarkNames=0.026215, SerializeSummary=0.011649, SerializeNames=0.142127, SerializeGatherableTextData=0.102226, BuildExportMap=0.147950, SortExportsNonSeekfree=0.093199, SortExportsSeekfreeConstructor=0.009030, SortExportsSeekfreeInner=19.477203, SortExportsSeekfree=0.004951, BuildDependencyMap=0.027962, SerializeImportMap=0.014562, SerializeExportMap=0.013106, SerializeDependencyMap=0.071645, SerializeStringAssetReferenceMap=0.002913, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.283379, SerializeExports=2.049483, SerializeBulkData=0.003494, MoveFile=6.081458, UnaccountedTime=0.261534, RunGuid=RunIDB918A1864662A482016745ABB8D210FB
