DDCTransactionId994A349F4FB98FDBDD206CA7973C931F_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__FBBDD204E59CC3E3C9749161169905E65779DA9A, StartTime=2016.04.03-21.11.42, HierarchicalDDC=, DataSize=6899, Duration=0.038736, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId0F9F46E8441FE301FA7C1B8826C8E440_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___018F4075D3397499A38D84DACDCE819C495D7211, StartTime=2016.04.03-21.11.42, HierarchicalDDC=, DataSize=65795, Duration=0.067275, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId0F9F46E8441FE301FA7C1B8826C8E440_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___1978717988CE205C32B2214CC1D518693DF7C4D6, StartTime=2016.04.03-21.11.42, HierarchicalDDC=, DataSize=16643, Duration=0.025921, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId0F9F46E8441FE301FA7C1B8826C8E440_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_565E0359430950FA252A118AF8521636___AFD2E7B6C000DBB57C3C2251719C132A8B58702E, StartTime=2016.04.03-21.11.42, HierarchicalDDC=, DataSize=6591, Duration=0.028830, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId728D20674D656BF3D05EAA97446DD98C_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090AF89_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.04.03-21.11.43, Duration=1244.543701, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId0F9F46E8441FE301FA7C1B8826C8E440_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__F781C0B0C2693BF17FB27AC24C523D4AD3350E86, StartTime=2016.04.03-21.11.44, HierarchicalDDC=, DataSize=524553, Duration=0.360850, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId994A349F4FB98FDBDD206CA7973C931F_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__EC69846C8DD084F28BBD11A348C2B577D88F8262, StartTime=2016.04.03-21.11.44, HierarchicalDDC=, DataSize=131335, Duration=0.084169, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId0F9F46E8441FE301FA7C1B8826C8E440_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__1423AB5FD021F7D2A063652CBFD2D5D24334CF57, StartTime=2016.04.03-21.11.44, HierarchicalDDC=, DataSize=33031, Duration=0.050675, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId0F9F46E8441FE301FA7C1B8826C8E440_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__1AC1C47CE01BB3791E07B3F37B4DEBBD29C103E3, StartTime=2016.04.03-21.11.44, HierarchicalDDC=, DataSize=8455, Duration=0.064075, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
DDCTransactionId0F9F46E8441FE301FA7C1B8826C8E440_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__DD3D508F2B287118D83B2811676DC879755E7F88, StartTime=2016.04.03-21.11.44, HierarchicalDDC=, DataSize=4452, Duration=0.030000, RunGuid=RunID13A2F33D4A97498FAD61109AAC06ABC6
