CookerStat, GenerateAssetRegistry=0.115331, Initialize=0.429876, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_11, Filename=E:/Github/Jam/Content/Enviroment/Materials/FadeSprite_Mat.uasset, AutoPackageBackupDelegate=0.199214, FlushAsyncLoading=0.003204, FlushStreamingFunc=0.071064, BlockTillAllRequestsFinished=0.008736, ResetLoadersForSaveUnMarkAllObjects=0.273768, TagPackageExports=0.184648, BeginCacheForCookedPlatformData=0.001166, SerializeImports=0.805873, GatherLocalizableTextData=1.139928, MarkNames=0.016019, SerializeSummary=0.011064, SerializeNames=0.087082, SerializeGatherableTextData=0.125527, BuildExportMap=0.068441, SortExportsNonSeekfree=0.073396, SortExportsSeekfreeConstructor=0.065528, SortExportsSeekfreeInner=1.048479, SortExportsSeekfree=0.002328, BuildDependencyMap=0.019222, SerializeImportMap=0.013687, SerializeExportMap=0.015728, SerializeDependencyMap=0.003204, SerializeStringAssetReferenceMap=0.001747, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.925295, SerializeExports=3.039125, SerializeBulkData=0.005536, MoveFile=6.062526, UnaccountedTime=1.594268, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_12, Filename=E:/Github/Jam/Content/Materials/Wall_Base_Inst.uasset, AutoPackageBackupDelegate=45.114227, FlushAsyncLoading=0.005823, FlushStreamingFunc=0.080094, BlockTillAllRequestsFinished=0.010777, ResetLoadersForSaveUnMarkAllObjects=0.508510, TagPackageExports=0.014272, BeginCacheForCookedPlatformData=0.001453, SerializeImports=0.506476, GatherLocalizableTextData=0.079799, MarkNames=0.006698, SerializeSummary=0.011358, SerializeNames=0.026211, SerializeGatherableTextData=0.001457, BuildExportMap=0.018060, SortExportsNonSeekfree=0.006113, SortExportsSeekfreeConstructor=0.070192, SortExportsSeekfreeInner=0.433370, SortExportsSeekfree=0.002913, BuildDependencyMap=0.006698, SerializeImportMap=0.007570, SerializeExportMap=0.006407, SerializeDependencyMap=0.001166, SerializeStringAssetReferenceMap=0.001747, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.224259, SerializeExports=0.228044, SerializeBulkData=0.004951, MoveFile=5.865067, UnaccountedTime=0.224549, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_13, Filename=E:/Github/Jam/Content/Enviroment/Materials/Wall_Base_Inst.uasset, AutoPackageBackupDelegate=0.213776, FlushAsyncLoading=0.005823, FlushStreamingFunc=0.062328, BlockTillAllRequestsFinished=0.008445, ResetLoadersForSaveUnMarkAllObjects=0.287458, TagPackageExports=0.018056, BeginCacheForCookedPlatformData=0.001166, SerializeImports=0.439778, GatherLocalizableTextData=0.077471, MarkNames=0.006698, SerializeSummary=0.009902, SerializeNames=0.027087, SerializeGatherableTextData=0.001457, BuildExportMap=0.019804, SortExportsNonSeekfree=0.006992, SortExportsSeekfreeConstructor=0.009608, SortExportsSeekfreeInner=0.382986, SortExportsSeekfree=0.002623, BuildDependencyMap=0.006407, SerializeImportMap=0.007279, SerializeExportMap=0.006407, SerializeDependencyMap=0.001166, SerializeStringAssetReferenceMap=0.001747, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.240417, SerializeExports=0.154361, SerializeBulkData=0.003494, MoveFile=5.716242, UnaccountedTime=1.625430, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_14, Filename=E:/Github/Jam/Content/Enviroment/Wall/Wall_BP.uasset, AutoPackageBackupDelegate=35.638031, FlushAsyncLoading=0.004660, FlushStreamingFunc=0.077471, BlockTillAllRequestsFinished=0.009902, ResetLoadersForSaveUnMarkAllObjects=0.495404, TagPackageExports=0.899069, BeginCacheForCookedPlatformData=0.001457, SerializeImports=1.430299, GatherLocalizableTextData=1.295742, MarkNames=0.022136, SerializeSummary=0.009902, SerializeNames=0.094943, SerializeGatherableTextData=0.004660, BuildExportMap=0.077471, SortExportsNonSeekfree=0.075724, SortExportsSeekfreeConstructor=0.057958, SortExportsSeekfreeInner=6.857913, SortExportsSeekfree=0.003498, BuildDependencyMap=0.018928, SerializeImportMap=0.010196, SerializeExportMap=0.011649, SerializeDependencyMap=0.002909, SerializeStringAssetReferenceMap=0.001747, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.279304, SerializeExports=1.659799, SerializeBulkData=0.004075, MoveFile=5.828370, UnaccountedTime=0.210568, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
MaterialTransactionId6556FCC242F7AFB002045FBC79907833_0, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_PCD3D_SM5_5__BC5N_DEV_SL_NoDBuf_EARLYZ3C727E2FE41E39F4C8D9C21B38F85AB02_Num_SM5__0___TBasePassVSFNoLightMapPolicyAtmosphericFog8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassVSFNoLightMapPolicy8B18AAF8F9198748E9489BA6EBEFA581D907D7CD2094224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222000044040000001400000014000000140000001400000014000000_TBasePassPSFNoLightMapPolicy8B95D470BB4BF92A5C22A48B60B9DA18A2BE42522144224222222222222222222222224222222222222222222222222222222222222222222424444444440222222222222222222222244442222222222222222222222222222221240222224222222222222222222222222222222222222222222222222222222222202004044001400000014000000140000001400000014000000_FEvaluateSurfelMaterialCS6258113C2EBBF117ED7778A8D1717F7C4F99C7B816742242222222222222222222222242222222222222222222222222222222222222222224244444444402222222222222222222222444422222222222222222222222222222222222222222222222222220000440414000000140000001400000014000000_FConvertToUniformMeshVSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_FConvertToUniformMeshGSE7DF727A12438F2D529D6604B0B1C022849CCFEB152422422222222222222222222222422222222222222222222222222222222222222222242444444444022222222222222222222224444222222222222222222222222222222124022020040441400000014000000140000001400000014000000_FLocalVertexFactory5897CEF715AB93237703E35F9ABEBB43E8E477D34224200000000058000040404040404040404040434343444443434343404040404040404040404343434040404044040404040404040404040404343434444434343434040404040404040404043434340404016101010101000424244444444444444424141414341414141413131414141444341444044444444444444414141414141414141434143414141414141414141414131314444414241444444414101010004443414341414141444444434341434444444404444444444444444444444444444444444444444444444444444444444444444444444444404010101010101010101010101010101010101010101010101210443434343444144444444444444440101010101010101010101010101301434143424141414244414130331313141444444440000250000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000025000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000001000000010000000100000000800000008000000080000000800000008000000080000004900000010000000090000000800000010000000100000001000000026000000180000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000900000009000000090000000800000008000000080000000800000008000000080000001C00000009000000090000000900000009000000090000000900000009000000080000000800000008000000080000000800000008000000080000000D00000008000000DA39A3EE5E6B4B0D3255BFEF95601890AFD807090000000000000000000000000000000000000000, ShaderCompilation=1336.230347, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
DDCTransactionId2CD354FB4F9D43E2BEE80E9F5B353E72_0, PutCachedData=, CacheKey=MATSM_4F0644619F9C48FF91E0D494C95EB050_PCD3D_SM5_5__BC5N_DEV_SL_NoDBuf_EARLYZ3__7351D923AEF15F2158B2EB32DFCFDDE9504ACEAB, StartTime=2016.05.24-17.29.17, HierarchicalDDC=, DataSize=18514, Duration=6.193005, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_15, Filename=E:/Github/Jam/Content/Enviroment/Materials/FadeSprite_Wall_Inst.uasset, AutoPackageBackupDelegate=0.223383, FlushAsyncLoading=0.003789, FlushStreamingFunc=0.050094, BlockTillAllRequestsFinished=0.004075, ResetLoadersForSaveUnMarkAllObjects=0.246685, TagPackageExports=0.028253, BeginCacheForCookedPlatformData=0.001457, SerializeImports=0.443563, GatherLocalizableTextData=0.096984, MarkNames=0.008445, SerializeSummary=0.011068, SerializeNames=0.034366, SerializeGatherableTextData=0.001747, BuildExportMap=0.024468, SortExportsNonSeekfree=0.008736, SortExportsSeekfreeConstructor=0.012524, SortExportsSeekfreeInner=0.484046, SortExportsSeekfree=0.003204, BuildDependencyMap=0.007574, SerializeImportMap=0.006989, SerializeExportMap=0.006117, SerializeDependencyMap=0.001457, SerializeStringAssetReferenceMap=0.002041, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.063343, SerializeExports=0.142127, SerializeBulkData=0.003494, MoveFile=6.575409, UnaccountedTime=1.714259, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_16, Filename=E:/Github/Jam/Content/Enviroment/Wall/Wall_BP.uasset, AutoPackageBackupDelegate=41.058369, FlushAsyncLoading=0.005241, FlushStreamingFunc=0.079803, BlockTillAllRequestsFinished=0.004366, ResetLoadersForSaveUnMarkAllObjects=0.485796, TagPackageExports=0.961397, BeginCacheForCookedPlatformData=0.001457, SerializeImports=1.649313, GatherLocalizableTextData=1.269821, MarkNames=0.022426, SerializeSummary=0.011649, SerializeNames=0.101645, SerializeGatherableTextData=0.004660, BuildExportMap=0.080965, SortExportsNonSeekfree=0.078052, SortExportsSeekfreeConstructor=0.062618, SortExportsSeekfreeInner=7.643692, SortExportsSeekfree=0.006407, BuildDependencyMap=0.030577, SerializeImportMap=0.015724, SerializeExportMap=0.020098, SerializeDependencyMap=0.004951, SerializeStringAssetReferenceMap=0.002913, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.435408, SerializeExports=2.537899, SerializeBulkData=0.006698, MoveFile=7.009942, UnaccountedTime=0.225425, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_17, Filename=E:/Github/Jam/Content/Enviroment/Wall/Wall_BP.uasset, AutoPackageBackupDelegate=38.237381, FlushAsyncLoading=0.004660, FlushStreamingFunc=0.132516, BlockTillAllRequestsFinished=0.011068, ResetLoadersForSaveUnMarkAllObjects=0.277847, TagPackageExports=0.963725, BeginCacheForCookedPlatformData=0.001457, SerializeImports=1.708724, GatherLocalizableTextData=1.332149, MarkNames=0.027962, SerializeSummary=0.012521, SerializeNames=0.119701, SerializeGatherableTextData=0.005826, BuildExportMap=0.087954, SortExportsNonSeekfree=0.085916, SortExportsSeekfreeConstructor=0.065822, SortExportsSeekfreeInner=7.251386, SortExportsSeekfree=0.003494, BuildDependencyMap=0.021555, SerializeImportMap=0.011358, SerializeExportMap=0.012234, SerializeDependencyMap=0.003494, SerializeStringAssetReferenceMap=0.002332, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.300854, SerializeExports=1.831342, SerializeBulkData=0.004075, MoveFile=5.701676, UnaccountedTime=0.242025, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_18, Filename=E:/Github/Jam/Content/Enviroment/Wall/Wall_BP.uasset, AutoPackageBackupDelegate=39.564869, FlushAsyncLoading=0.006698, FlushStreamingFunc=0.113875, BlockTillAllRequestsFinished=0.013106, ResetLoadersForSaveUnMarkAllObjects=0.260662, TagPackageExports=1.478061, BeginCacheForCookedPlatformData=0.002913, SerializeImports=2.157241, GatherLocalizableTextData=1.692127, MarkNames=0.030581, SerializeSummary=0.014272, SerializeNames=0.142708, SerializeGatherableTextData=0.006698, BuildExportMap=0.107471, SortExportsNonSeekfree=0.107467, SortExportsSeekfreeConstructor=0.078343, SortExportsSeekfreeInner=8.834880, SortExportsSeekfree=0.005532, BuildDependencyMap=0.026796, SerializeImportMap=0.011943, SerializeExportMap=0.012521, SerializeDependencyMap=0.003204, SerializeStringAssetReferenceMap=0.002913, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.422303, SerializeExports=2.179377, SerializeBulkData=0.005241, MoveFile=6.029621, UnaccountedTime=1.677852, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_19, Filename=E:/Github/Jam/Content/Enviroment/Wall/Wall_BP.uasset, AutoPackageBackupDelegate=38.510860, FlushAsyncLoading=0.004660, FlushStreamingFunc=0.092033, BlockTillAllRequestsFinished=0.009902, ResetLoadersForSaveUnMarkAllObjects=0.212900, TagPackageExports=0.952076, BeginCacheForCookedPlatformData=0.001457, SerializeImports=1.575045, GatherLocalizableTextData=1.347002, MarkNames=0.023883, SerializeSummary=0.011649, SerializeNames=0.111546, SerializeGatherableTextData=0.005532, BuildExportMap=0.085335, SortExportsNonSeekfree=0.089996, SortExportsSeekfreeConstructor=0.009026, SortExportsSeekfreeInner=7.186729, SortExportsSeekfree=0.003204, BuildDependencyMap=0.021845, SerializeImportMap=0.011068, SerializeExportMap=0.012230, SerializeDependencyMap=0.002623, SerializeStringAssetReferenceMap=0.001747, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.299979, SerializeExports=1.940265, SerializeBulkData=0.004370, MoveFile=6.838109, UnaccountedTime=0.224549, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
SavePackageTransactionId231E5546485B0DF3138F7FB1C1FFE0EE_20, Filename=E:/Github/Jam/Content/Maps/Test.umap, AutoPackageBackupDelegate=39.745441, FlushAsyncLoading=0.004951, FlushStreamingFunc=0.137173, BlockTillAllRequestsFinished=0.004079, ResetLoadersForSaveUnMarkAllObjects=63.868572, TagPackageExports=2.403345, BeginCacheForCookedPlatformData=0.002328, SerializeImports=4.216917, GatherLocalizableTextData=18.839390, MarkNames=0.113294, SerializeSummary=0.018056, SerializeNames=0.513464, SerializeGatherableTextData=0.015143, BuildExportMap=0.357356, SortExportsNonSeekfree=0.769176, SortExportsSeekfreeConstructor=0.068150, SortExportsSeekfreeInner=41.236610, SortExportsSeekfree=0.004951, BuildDependencyMap=0.959650, SerializeImportMap=0.071645, SerializeExportMap=0.074558, SerializeDependencyMap=0.017472, SerializeStringAssetReferenceMap=0.003204, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.704361, SerializeExports=14.264531, SerializeBulkData=27.553398, MoveFile=5.362381, UnaccountedTime=0.301730, RunGuid=RunIDABB6F621468A104DC94C319E54FC5C18
